TABLE SUBTITLE,NUMÉRO,PARAMÈTRE,UNITÉ
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",4,Composante u de la dérive de la glace,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",5,Composante v de la dérive de la glace,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",6,Taux de croissance de la glace,m s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",7,Divergence de la glace,s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",8,Température de la glace,K
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",9,Module de la pression interne dans la glace*,Pa m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",10,Composante vectorielle zonale de la pression interne de la glace intégrée verticalement,Pa m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",11,Composante vectorielle méridienne de la pression interne de la glace intégrée verticalement,Pa m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",12,Résistance de la glace à la compression,N m-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",13-191,En réserve,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",192-254,En réserve pour un usage local,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace",255,Valeur manquante,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 3: propriétés en surface",0,Température de l'eau,K
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 3: propriétés en surface",1,Écart par rapport au niveau moyen de la mer,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 3: propriétés en surface",2,Coefficient d'échange de chaleur,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 3: propriétés en surface",3,Salinité pratique,Numérique
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 3: propriétés en surface",4-191,En réserve,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 3: propriétés en surface",192-254,En réserve pour un usage local,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 3: propriétés en surface",255,Valeur manquante,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",0,Profondeur de la thermocline principale,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",1,Anomalie de la thermocline principale,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",2,Profondeur de la thermocline transitoire,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",3,Salinité,kg kg-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",4,Diffusivité de la chaleur océanique dans le plan vertical,m² s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",5,Diffusivité de la salinité océanique dans le plan vertical,m² s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",6,Diffusivité de la quantité de mouvement océanique dans le plan vertical,m² s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",7,Bathymétrie,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",8-10,En réserve,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",11,Facteur de forme par rapport au profil de salinité,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",12,Facteur de forme par rapport au profil de température au niveau de la thermocline,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",13,Coefficient d'atténuation du rayonnement solaire par l'eau,m-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",14,Profondeur de l'eau,m
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",15,Température de l'eau,K
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",16,Masse volumique de l'eau (rho),kg m-3
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",17,Anomalie de masse volumique de l'eau (sigma) (voir la note),kg m-3
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",18,Température potentielle de l'eau (theta),K
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",19,Masse volumique potentielle de l'eau (rho theta),kg m-3
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",20,Anomalie de masse volumique potentielle de l'eau (sigma theta) (voir la note),kg m-3
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",21,Salinité pratique,Numérique
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",22-191,En réserve,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",192-254,En réserve pour un usage local,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 4: propriétés sous-marines",255,Valeur manquante,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 191: divers",0,Nombre de secondes avant l'heure de référence initiale (définie à la section 1),s
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 191: divers",1,Fonction de courant de la circulation thermohaline,m³ s-1
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 191: divers",2,En réserve,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 191: divers",3,Nombre de jours depuis la dernière observation,d
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 191: divers",4-191,En réserve,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 191: divers",192-254,En réserve pour un usage local,–
"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 191: divers",255,Valeur manquante,–
